iter	Passed	Remaining
421	1228	1682
422	1231	1679
423	1233	1675
424	1236	1672
425	1238	1669
426	1241	1665
427	1243	1662
428	1246	1658
429	1249	1655
430	1251	1652
431	1253	1648
432	1256	1645
433	1259	1642
434	1262	1640
435	1266	1638
436	1269	1635
437	1272	1632
438	1275	1629
439	1278	1626
440	1281	1624
441	1283	1620
442	1286	1617
443	1289	1614
444	1292	1611
445	1294	1608
446	1297	1605
447	1300	1602
448	1303	1599
449	1306	1596
450	1309	1594
451	1312	1590
452	1314	1587
453	1318	1585
454	1321	1582
455	1324	1579
456	1326	1576
457	1329	1573
458	1333	1571
459	1337	1570
460	1340	1567
461	1344	1565
462	1349	1564
463	1356	1566
464	1360	1564
465	1364	1563
466	1370	1564
467	1375	1564
468	1379	1561
469	1382	1558
470	1385	1556
471	1389	1554
472	1393	1552
473	1396	1549
474	1400	1548
475	1404	1545
476	1408	1544
477	1411	1541
478	1414	1538
479	1419	1537
480	1423	1536
481	1428	1535
482	1433	1534
483	1437	1532
484	1440	1529
485	1443	1526
486	1446	1523
487	1449	1521
488	1453	1518
489	1456	1516
490	1459	1513
491	1462	1510
492	1465	1507
493	1469	1505
494	1473	1503
495	1477	1500
496	1479	1497
497	1483	1495
498	1486	1492
499	1489	1489
500	1492	1486
501	1494	1482
502	1497	1479
503	1500	1476
504	1503	1473
505	1507	1471
506	1510	1468
507	1513	1465
508	1516	1462
509	1519	1459
510	1522	1457
511	1525	1454
512	1528	1451
513	1531	1448
514	1534	1444
515	1537	1442
516	1540	1439
517	1543	1436
518	1546	1433
519	1549	1430
520	1552	1427
521	1555	1424
522	1558	1421
523	1561	1418
524	1564	1415
525	1567	1412
526	1570	1409
527	1573	1406
528	1576	1403
529	1579	1400
530	1582	1397
531	1585	1394
532	1588	1391
533	1591	1388
534	1594	1386
535	1597	1383
536	1600	1379
537	1603	1377
538	1606	1374
539	1609	1371
540	1612	1368
541	1615	1365
542	1618	1362
543	1621	1359
544	1624	1356
545	1627	1353
546	1631	1351
547	1634	1348
548	1637	1345
549	1640	1342
550	1643	1339
551	1646	1336
552	1649	1333
553	1652	1330
554	1655	1327
555	1659	1325
556	1662	1322
557	1665	1319
558	1669	1316
559	1672	1314
560	1675	1311
561	1678	1308
562	1681	1304
563	1683	1301
564	1686	1298
565	1689	1295
566	1692	1292
567	1695	1289
568	1698	1286
569	1701	1283
570	1704	1280
571	1707	1277
572	1710	1274
573	1713	1271
574	1716	1268
575	1719	1265
576	1722	1262
577	1725	1259
578	1728	1256
579	1731	1253
580	1734	1250
581	1737	1247
582	1740	1244
583	1743	1241
584	1746	1238
585	1749	1236
586	1753	1233
587	1756	1230
588	1759	1227
589	1762	1224
590	1765	1221
591	1768	1218
592	1771	1215
593	1774	1212
594	1777	1209
595	1780	1206
596	1783	1203
597	1786	1201
598	1789	1198
599	1792	1195
600	1795	1191
601	1798	1188
602	1801	1185
603	1804	1182
604	1806	1179
605	1810	1176
606	1813	1173
607	1815	1170
608	1818	1167
609	1822	1165
610	1825	1161
611	1827	1158
612	1831	1155
613	1834	1153
614	1837	1150
615	1840	1147
616	1843	1144
617	1846	1141
618	1849	1138
619	1852	1135
620	1855	1132
621	1858	1129
622	1860	1126
623	1863	1123
624	1866	1119
625	1870	1117
626	1872	1114
627	1875	1110
628	1878	1107
629	1881	1105
630	1884	1102
631	1887	1099
632	1890	1096
633	1893	1093
634	1896	1090
635	1899	1087
636	1902	1084
637	1905	1081
638	1908	1078
639	1911	1075
640	1913	1071
641	1916	1068
642	1920	1066
643	1922	1062
644	1926	1060
645	1929	1057
646	1932	1054
647	1935	1051
648	1938	1048
649	1941	1045
650	1944	1042
651	1947	1039
652	1950	1036
653	1953	1033
654	1956	1030
655	1959	1027
656	1962	1024
657	1964	1021
658	1967	1018
659	1971	1015
660	1974	1012
661	1977	1009
662	1980	1006
663	1983	1003
664	1986	1000
665	1989	997
666	1991	994
667	1995	991
668	1998	988
669	2001	985
670	2004	982
671	2007	979
672	2010	976
673	2013	973
674	2016	970
675	2019	968
676	2022	965
677	2025	962
678	2029	959
679	2031	956
680	2035	953
681	2037	950
682	2040	947
683	2043	944
684	2046	941
685	2049	938
686	2052	935
687	2054	931
688	2057	928
689	2060	925
690	2063	922
691	2065	919
692	2068	916
693	2070	912
694	2072	909
695	2076	906
696	2079	903
697	2082	901
698	2085	898
699	2088	895
700	2091	892
701	2094	889
702	2098	886
703	2102	884
704	2108	882
705	2112	879
706	2116	877
707	2121	874
708	2124	872
709	2128	869
710	2132	866
711	2135	863
712	2140	861
713	2143	858
714	2146	855
715	2150	852
716	2153	849
717	2157	847
718	2160	844
719	2162	841
720	2165	838
721	2168	835
722	2171	832
723	2174	828
724	2177	825
725	2179	822
726	2182	819
727	2185	816
728	2188	813
729	2191	810
730	2194	807
731	2197	804
732	2200	801
733	2202	798
734	2205	795
735	2208	792
736	2210	788
737	2213	785
738	2215	782
739	2218	779
740	2221	776
741	2223	773
742	2226	770
743	2229	767
744	2232	764
745	2235	761
746	2237	757
747	2240	754
748	2243	751
749	2246	748
750	2248	745
751	2251	742
752	2254	739
753	2257	736
754	2259	733
755	2262	730
756	2265	727
757	2268	724
758	2270	721
759	2273	717
760	2276	714
761	2279	711
762	2281	708
763	2284	705
764	2287	702
765	2289	699
766	2292	696
767	2295	693
768	2298	690
769	2300	687
770	2303	684
771	2306	681
772	2309	678
773	2311	675
774	2314	671
775	2317	668
776	2319	665
777	2322	662
778	2325	659
779	2327	656
780	2330	653
781	2332	650
782	2335	647
783	2337	644
784	2340	641
785	2343	638
786	2346	635
787	2349	631
788	2351	628
789	2354	625
790	2356	622
791	2359	619
792	2362	616
793	2365	613
794	2368	610
795	2370	607
796	2373	604
797	2376	601
798	2378	598
799	2381	595
800	2384	592
801	2387	589
802	2389	586
803	2392	583
804	2395	580
805	2397	577
806	2400	573
807	2402	570
808	2405	567
809	2408	564
810	2410	561
811	2413	558
812	2416	555
813	2419	552
814	2421	549
815	2424	546
816	2427	543
817	2430	540
818	2432	537
819	2435	534
820	2438	531
821	2440	528
822	2443	525
823	2445	522
824	2448	519
825	2451	516
826	2454	513
827	2456	510
828	2459	507
829	2462	504
830	2465	501
831	2467	498
832	2470	495
833	2473	492
834	2476	489
835	2479	486
836	2481	483
837	2484	480
838	2487	477
839	2490	474
840	2493	471
841	2496	468
842	2499	465
843	2503	462
844	2506	459
845	2509	456
846	2511	453
847	2514	450
848	2517	447
849	2520	444
850	2522	441
851	2525	438
852	2528	435
853	2531	432
854	2533	429
855	2536	426
856	2539	423
857	2542	420
858	2544	417
859	2547	414
860	2550	411
861	2553	408
862	2556	405
863	2558	402
864	2561	399
865	2563	396
866	2566	393
867	2569	390
868	2571	387
869	2574	384
870	2577	381
871	2579	378
872	2582	375
873	2585	372
874	2587	369
875	2590	366
876	2593	363
877	2596	360
878	2598	357
879	2601	354
880	2604	351
881	2606	348
882	2609	345
883	2612	342
884	2614	339
885	2617	336
886	2620	333
887	2623	330
888	2625	327
889	2628	324
890	2631	321
891	2633	318
892	2636	315
893	2639	312
894	2642	309
895	2644	307
896	2647	304
897	2650	301
898	2653	298
899	2655	295
900	2658	292
901	2661	289
902	2663	286
903	2666	283
904	2669	280
905	2672	277
906	2674	274
907	2677	271
908	2680	268
909	2683	265
910	2685	262
911	2688	259
912	2691	256
913	2694	253
914	2697	250
915	2699	247
916	2702	244
917	2705	241
918	2707	238
919	2710	235
920	2713	232
921	2716	229
922	2719	226
923	2722	223
924	2724	220
925	2727	217
926	2729	214
927	2732	212
928	2735	209
929	2737	206
930	2740	203
931	2743	200
932	2745	197
933	2748	194
934	2751	191
935	2754	188
936	2756	185
937	2759	182
938	2762	179
939	2765	176
940	2768	173
941	2770	170
942	2773	167
943	2776	164
944	2778	161
945	2781	158
946	2784	155
947	2787	152
948	2790	149
949	2792	146
950	2795	144
951	2798	141
952	2800	138
953	2803	135
954	2806	132
955	2809	129
956	2811	126
957	2814	123
958	2817	120
959	2819	117
960	2822	114
961	2825	111
962	2827	108
963	2831	105
964	2833	102
965	2836	99
966	2839	96
967	2841	93
968	2844	91
969	2847	88
970	2849	85
971	2852	82
972	2855	79
973	2858	76
974	2860	73
975	2863	70
976	2866	67
977	2868	64
978	2870	61
979	2872	58
980	2875	55
981	2877	52
982	2879	49
983	2881	46
984	2884	43
985	2886	40
986	2888	38
987	2890	35
988	2892	32
989	2895	29
990	2897	26
991	2900	23
992	2902	20
993	2904	17
994	2907	14
995	2909	11
996	2912	8
997	2914	5
998	2916	2
999	2919	0
