iter	MultiClass
424	0.621925621
425	0.6215422473
426	0.6213170929
427	0.6210926218
428	0.6208598647
429	0.6206189093
430	0.6203397215
431	0.6200209666
432	0.6196811908
433	0.6193751769
434	0.6191288049
435	0.618827474
436	0.618686943
437	0.6183536294
438	0.6179982592
439	0.6177767409
440	0.6174602529
441	0.6172015195
442	0.6170054496
443	0.6167372542
444	0.6165650807
445	0.6163063457
446	0.6161829469
447	0.6159495441
448	0.6157076353
449	0.6154169979
450	0.6151507347
451	0.614831478
452	0.6145287812
453	0.6141976334
454	0.6138666432
455	0.6136810292
456	0.6134963757
457	0.6132732428
458	0.6131482723
459	0.612764216
460	0.6124630905
461	0.6121906742
462	0.6119081386
463	0.6116564706
464	0.611426301
465	0.6110274717
466	0.6107846875
467	0.6105598642
468	0.6104298971
469	0.6101619723
470	0.6097639322
471	0.6095837188
472	0.6093552132
473	0.6090806103
474	0.608959112
475	0.6087579606
476	0.6085685564
477	0.6083401881
478	0.6080998728
479	0.6078901671
480	0.6075801753
481	0.6074174263
482	0.607043835
483	0.606739979
484	0.606419768
485	0.6060912187
486	0.6058198399
487	0.6056080285
488	0.6054382287
489	0.6052011104
490	0.6050443561
491	0.604727429
492	0.6045303793
493	0.6040921517
494	0.6036998738
495	0.6034577582
496	0.6033050149
497	0.6030663367
498	0.6027208284
499	0.6025059231
500	0.6023283336
501	0.6020579089
502	0.6018455622
503	0.6015254152
504	0.6013746303
505	0.6010681666
506	0.6008466636
507	0.6005336851
508	0.6003364647
509	0.6002433181
510	0.6001000837
511	0.5998538839
512	0.599738839
513	0.5995440231
514	0.5992096148
515	0.5987679296
516	0.5984676931
517	0.5981359803
518	0.5979721383
519	0.597737898
520	0.5975227353
521	0.5973206755
522	0.5971473053
523	0.5969747123
524	0.596708772
525	0.5964840527
526	0.596235224
527	0.5959037144
528	0.5955720557
529	0.5952247473
530	0.5949535059
531	0.5947503503
532	0.5944768507
533	0.5942544714
534	0.5939704472
535	0.5937452988
536	0.5935502776
537	0.593338681
538	0.5931931654
539	0.5930183904
540	0.5927080973
541	0.5925117481
542	0.5922225878
543	0.591805173
544	0.5915927442
545	0.5914824314
546	0.5911973773
547	0.590870708
548	0.5906165927
549	0.590432205
550	0.5901140044
551	0.5898355367
552	0.5895336852
553	0.5893520611
554	0.5890818595
555	0.5888931439
556	0.588769342
557	0.5885313751
558	0.5882871055
559	0.5880462432
560	0.5877011069
561	0.5873981862
562	0.5870334278
563	0.5868327447
564	0.5865240922
565	0.5862711769
566	0.5860958242
567	0.5859676004
568	0.5856851685
569	0.5855799041
570	0.5854117861
571	0.5852105203
572	0.5849886846
573	0.5847920567
574	0.5845104574
575	0.5842071051
576	0.5839871279
577	0.5837079331
578	0.5834052804
579	0.5830263
580	0.5828748882
581	0.5826358612
582	0.5824218309
583	0.5821574207
584	0.5818585388
585	0.5814736246
586	0.5811075083
587	0.5807917483
588	0.5805571852
589	0.5803455516
590	0.5801600102
591	0.5799176378
592	0.5796345394
593	0.5794680798
594	0.5792889257
595	0.5791695806
596	0.5790311636
597	0.5787921209
598	0.5785738602
599	0.5783536082
600	0.578000137
601	0.5777641829
602	0.5775816437
603	0.5773937552
604	0.5770626701
605	0.5769293305
606	0.5768024233
607	0.5766036963
608	0.5762542033
609	0.576071354
610	0.5758753368
611	0.5756227838
612	0.5754068569
613	0.5751124114
614	0.5748967399
615	0.5747809474
616	0.5746733372
617	0.5743461171
618	0.574058841
619	0.5739168302
620	0.5736774878
621	0.5734328358
622	0.5732802885
623	0.5731871235
624	0.5730409194
625	0.5727147021
626	0.5724324766
627	0.5721607478
628	0.5720131376
629	0.5716769426
630	0.5713976184
631	0.5711677283
632	0.5709561559
633	0.5707704155
634	0.5704515655
635	0.5702916181
636	0.5701243643
637	0.5699414906
638	0.5697069649
639	0.5694988272
640	0.5692347928
641	0.5689906397
642	0.568830009
643	0.5686726816
644	0.5685218537
645	0.568427434
646	0.5682489445
647	0.5680207829
648	0.5679351722
649	0.5677329308
650	0.5675855307
651	0.5674477565
652	0.5672178639
653	0.567067882
654	0.5668833607
655	0.5667140484
656	0.5664922504
657	0.5663799502
658	0.5662617914
659	0.5660888357
660	0.5658329631
661	0.5656648508
662	0.5652935434
663	0.5650951532
664	0.5649049986
665	0.564747283
666	0.5646153876
667	0.5643589819
668	0.5641016953
669	0.5638214688
670	0.5636061912
671	0.5635267518
672	0.5633181669
673	0.563186355
674	0.5630443492
675	0.5627796611
676	0.5625297336
677	0.5623500858
678	0.5621857765
679	0.5619641533
680	0.5616477117
681	0.5614601516
682	0.5612470523
683	0.5611475344
684	0.5608573928
685	0.5605482026
686	0.5602340687
687	0.5600736854
688	0.5598990103
689	0.5596391485
690	0.5593850177
691	0.5592629984
692	0.5591693694
693	0.5590363418
694	0.5588029626
695	0.5585223213
696	0.558293084
697	0.5580603542
698	0.5579004854
699	0.5577076688
700	0.5576222247
701	0.5573775198
702	0.557157257
703	0.5569940934
704	0.5567738914
705	0.5565494507
706	0.5563986737
707	0.5562555247
708	0.5559601538
709	0.5558111856
710	0.5557221801
711	0.5555677427
712	0.5553771084
713	0.5551365374
714	0.5549797655
715	0.5548267112
716	0.5546205912
717	0.554483067
718	0.5541485219
719	0.5539416323
720	0.553841063
721	0.553688827
722	0.5533547485
723	0.5530478294
724	0.552845349
725	0.5525651578
726	0.5524136671
727	0.5522796107
728	0.5521140727
729	0.5518876125
730	0.5517471073
731	0.5515763464
732	0.5514214228
733	0.5511967725
734	0.5508710382
735	0.5505952092
736	0.5504592637
737	0.5501510057
738	0.5499231896
739	0.5497240886
740	0.5496084627
741	0.5493924759
742	0.5492394399
743	0.5491321861
744	0.5489560583
745	0.5487741341
746	0.5486200689
747	0.548390997
748	0.5482514143
749	0.5481034692
750	0.5479449367
751	0.5478326696
752	0.5474863585
753	0.5472720392
754	0.5470958314
755	0.5469006491
756	0.5467633399
757	0.5464938842
758	0.5463349695
759	0.5462524778
760	0.5460992536
761	0.5459670394
762	0.5458549552
763	0.5455206626
764	0.5453568025
765	0.5450724431
766	0.5448817411
767	0.5446462544
768	0.5443978975
769	0.5441894923
770	0.5439311203
771	0.5437743121
772	0.5435707187
773	0.5434278358
774	0.5432613116
775	0.5431120317
776	0.5428687465
777	0.5426781455
778	0.5425392086
779	0.5423705786
780	0.542134502
781	0.5419350202
782	0.5417628048
783	0.5416286745
784	0.5414583369
785	0.5413860262
786	0.5411153326
787	0.5409092539
788	0.5407700632
789	0.5406047296
790	0.5404583637
791	0.5403644414
792	0.5401767405
793	0.5399919526
794	0.5396963032
795	0.5394506682
796	0.5393071228
797	0.5390695082
798	0.5389194796
799	0.5387749725
800	0.5386411661
801	0.5383619461
802	0.5382360285
803	0.5381190641
804	0.5380549785
805	0.5377910781
806	0.5374379322
807	0.537205231
808	0.5370656931
809	0.5367018108
810	0.5364656674
811	0.5361746176
812	0.5358279544
813	0.5356971404
814	0.535578106
815	0.5353722306
816	0.5351664266
817	0.5349317582
818	0.534730462
819	0.534573822
820	0.5343703699
821	0.5342347
822	0.534008843
823	0.5338369567
824	0.5335570602
825	0.5333671261
826	0.5331282259
827	0.5329452489
828	0.5327877022
829	0.5326119315
830	0.5324483442
831	0.532281394
832	0.5320783138
833	0.5319862163
834	0.5317481825
835	0.5316422614
836	0.5314291119
837	0.5313189832
838	0.5311528229
839	0.5309633367
840	0.5308865792
841	0.5306297136
842	0.5304944399
843	0.53040148
844	0.5302866028
845	0.5299722078
846	0.5297617521
847	0.5295528013
848	0.5292926895
849	0.5290668897
850	0.5289030668
851	0.5286839744
852	0.5285684525
853	0.5284532514
854	0.5282690916
855	0.5280567099
856	0.5279056297
857	0.5276851812
858	0.5275464049
859	0.5273889994
860	0.5272803614
861	0.5270646126
862	0.5268495372
863	0.5266626374
864	0.5263613449
865	0.5261534867
866	0.52597825
867	0.525869651
868	0.5257676051
869	0.5255778082
870	0.5253946075
871	0.5252857023
872	0.5250903304
873	0.5247904842
874	0.5246559263
875	0.5245330787
876	0.5243335948
877	0.5241096511
878	0.5240141983
879	0.5238770439
880	0.523661546
881	0.5235464458
882	0.5234385286
883	0.5232341811
884	0.5230902156
885	0.5229663016
886	0.5228262179
887	0.522659375
888	0.5224985295
889	0.52230766
890	0.5220836995
891	0.5219854492
892	0.5217390059
893	0.5216244667
894	0.52145759
895	0.5213812882
896	0.5212721369
897	0.5210203472
898	0.5208923425
899	0.5207002288
900	0.5206101172
901	0.5202835219
902	0.5201818834
903	0.5199453581
904	0.5198127346
905	0.5196447723
906	0.519518438
907	0.5193948763
908	0.5190561204
909	0.5189333441
910	0.5187840119
911	0.5186490287
912	0.5184414232
913	0.5182820628
914	0.5181201309
915	0.5179037667
916	0.5176403409
917	0.5174891377
918	0.5173631862
919	0.517259405
920	0.5170469816
921	0.516965304
922	0.5167383731
923	0.5165390985
924	0.5162680831
925	0.5161091279
926	0.5160062691
927	0.5159003962
928	0.5157160437
929	0.5155317253
930	0.515297101
931	0.515101563
932	0.5149776025
933	0.5147071952
934	0.5145781195
935	0.5144495125
936	0.5142030073
937	0.5138689618
938	0.5136342409
939	0.5133490565
940	0.5132418306
941	0.5130904642
942	0.5128465774
943	0.5125764026
944	0.5124281022
945	0.5122742439
946	0.5120617502
947	0.5118458276
948	0.5117356669
949	0.5116145205
950	0.5114561645
951	0.5112507147
952	0.5111557531
953	0.5110616948
954	0.5108957669
955	0.510781842
956	0.510531708
957	0.5104544661
958	0.5103253957
959	0.5102294892
960	0.5100844159
961	0.5099003582
962	0.509662547
963	0.5095284392
964	0.5093790343
965	0.5092699492
966	0.5091384887
967	0.509070562
968	0.5089608046
969	0.5087742716
970	0.508659769
971	0.5084779348
972	0.5083433192
973	0.5080918539
974	0.5080354977
975	0.5077851579
976	0.507572794
977	0.5071911136
978	0.5070501238
979	0.5069203728
980	0.5067536454
981	0.5065114107
982	0.5063882147
983	0.5062592973
984	0.5060927583
985	0.5060251173
986	0.5058611736
987	0.5056743894
988	0.5055439652
989	0.5052926821
990	0.505184013
991	0.5050357346
992	0.504802558
993	0.5045462963
994	0.5044298732
995	0.5042337926
996	0.5040699916
997	0.5038176392
998	0.5036751794
999	0.5035665975
