period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg,disposition
4.783002698,2.335,1008.7,2.5,5170.0,0.807,4.574,2
20.50588921,4.0595,2105.5,3.41,4905.0,0.761,4.544,2
3.340218842,1.9104,1632.6,2.03,3950.0,0.493,4.754,2
18.64932728,4.4056,893.6,3.12,5775.0,1.053,4.405,2
4.90144976,4.1654,140.7,1.7,5847.0,1.402,4.191,2
9.75192101,4.793,418.0,2.76,5775.0,1.053,4.405,2
38.5576546,5.794,993.0,4.02,5775.0,1.053,4.405,2
3.525632539,2.59959,22335.0,11.58,5150.0,0.793,4.572,2
34.84398644,2.9315,4523.6,7.61,5509.0,0.871,4.482,1
7.748094239,3.5957,2472.1,5.52,5973.0,1.085,4.439,2
23.96793669,3.827,1182.3,1.8,3747.0,0.524,4.728,2
8.29561738,1.3421,824.3,1.82,3747.0,0.524,4.728,2
8.11437482,2.2736,1558.0,2.1,3692.0,0.517,4.753,2
3.747838198,5.0642,616.0,13.65,5514.0,0.826,4.569,0
14.74914825,6.0995,430.2,2.89,5847.0,1.402,4.191,2
21.81295996,4.3791,1175.4,3.38,5601.0,0.999,4.41,2
7.91936937,3.3148,15148.0,10.34,5690.0,0.776,4.588,0
15.37562369,3.3169,15337.0,11.01,4986.0,0.833,4.496,2
8.10363271,3.161,887.9,2.11,4861.0,0.732,4.574,2
4.71510843,2.506,417.5,1.46,4861.0,0.732,4.574,2
6.365839713,2.9721,780.7,2.44,5776.0,0.849,4.554,2
5.97581754,3.065,962.4,3.86,6108.0,0.997,4.471,0
3.04033046,1.8411,10859.0,8.99,5035.0,0.791,4.519,2
15.33528675,3.897,3081.4,5.0,5251.0,0.817,4.581,2
7.95825328,4.377,50.0,1.06,5847.0,1.402,4.191,2
31.33046135,5.176,5073.8,6.5,5251.0,0.817,4.581,2
3.9043425,3.831,16228.0,12.28,5810.0,0.898,4.526,0
9.286358079,3.49949,44791.0,17.61,5670.0,0.821,4.523,0
23.65369415,8.2183,3341.8,7.89,5739.0,1.384,4.191,2
13.23352214,6.7372,504.6,3.06,5739.0,1.384,4.191,2
6.15560285,4.9843,285.0,2.32,5739.0,1.384,4.191,2
